,Original,Destination,passengers
465,Georgia,Puerto Rico,17611.0
466,Georgia,Ohio,79108.0
467,Georgia,Alabama,59762.0
468,Georgia,Utah,49591.0
469,Georgia,Hawaii,6344.0
470,Georgia,Illinois,110503.0
471,Georgia,Indiana,47757.0
472,Georgia,Idaho,2520.0
473,Georgia,West Virginia,4388.0
474,Georgia,Tennessee,120070.0
475,Georgia,Arizona,48704.0
476,Georgia,Massachusetts,62866.0
477,Kentucky,Montana,0.0
478,Kentucky,Florida,84177.0
479,Kentucky,Washington,6511.0
480,Kentucky,Arkansas,0.0
481,Kentucky,South Dakota,0.0
482,Kentucky,Mississippi,0.0
483,Kentucky,Kansas,0.0
484,Kentucky,Virginia,18042.0
485,Kentucky,Georgia,72211.0
486,Kentucky,Kentucky,62.0
487,Kentucky,Rhode Island,0.0
488,Kentucky,Oklahoma,69.0
489,Kentucky,Louisiana,943.0
490,Kentucky,Minnesota,13651.0
491,Kentucky,U.S. Pacific Trust Territories and Possessions,0.0
492,Kentucky,Michigan,14694.0
493,Kentucky,Pennsylvania,10333.0
494,Kentucky,Nebraska,0.0
495,Kentucky,Wyoming,0.0
496,Kentucky,Oregon,0.0
497,Kentucky,Iowa,0.0
498,Kentucky,South Carolina,2211.0
499,Kentucky,Vermont,0.0
500,Kentucky,Maryland,14359.0
501,Kentucky,Connecticut,0.0
502,Kentucky,North Carolina,32121.0
503,Kentucky,New Mexico,0.0
504,Kentucky,U.S. Virgin Islands,0.0
505,Kentucky,Texas,47079.0
506,Kentucky,New Jersey,6956.0
507,Kentucky,New Hampshire,0.0
508,Kentucky,Alaska,0.0
509,Kentucky,North Dakota,0.0
510,Kentucky,Maine,80.0
511,Kentucky,Colorado,30207.0
512,Kentucky,California,5491.0
513,Kentucky,Missouri,382.0
514,Kentucky,Nevada,20477.0
515,Kentucky,Delaware,0.0
516,Kentucky,Wisconsin,58.0
517,Kentucky,New York,13416.0
518,Kentucky,Puerto Rico,0.0
519,Kentucky,Ohio,0.0
520,Kentucky,Alabama,0.0
521,Kentucky,Utah,6205.0
522,Kentucky,Hawaii,0.0
523,Kentucky,Illinois,52844.0
524,Kentucky,Indiana,149.0
525,Kentucky,Idaho,0.0
526,Kentucky,West Virginia,0.0
527,Kentucky,Tennessee,753.0
528,Kentucky,Arizona,6489.0
529,Kentucky,Massachusetts,5030.0
530,Rhode Island,Montana,0.0
531,Rhode Island,Florida,26721.0
532,Rhode Island,Washington,0.0
533,Rhode Island,Arkansas,0.0
534,Rhode Island,South Dakota,0.0
535,Rhode Island,Mississippi,0.0
536,Rhode Island,Kansas,0.0
537,Rhode Island,Virginia,8957.0
538,Rhode Island,Georgia,12490.0
539,Rhode Island,Kentucky,0.0
540,Rhode Island,Rhode Island,4191.0
541,Rhode Island,Oklahoma,0.0
542,Rhode Island,Louisiana,149.0
543,Rhode Island,Minnesota,456.0
544,Rhode Island,U.S. Pacific Trust Territories and Possessions,0.0
545,Rhode Island,Michigan,6215.0
546,Rhode Island,Pennsylvania,8060.0
547,Rhode Island,Nebraska,0.0
548,Rhode Island,Wyoming,0.0
549,Rhode Island,Oregon,0.0
550,Rhode Island,Iowa,0.0
551,Rhode Island,South Carolina,54.0
552,Rhode Island,Vermont,0.0
553,Rhode Island,Maryland,16014.0
554,Rhode Island,Connecticut,0.0
555,Rhode Island,North Carolina,11103.0
556,Rhode Island,New Mexico,0.0
557,Rhode Island,U.S. Virgin Islands,0.0
558,Rhode Island,Texas,0.0
559,Rhode Island,New Jersey,1648.0
560,Rhode Island,New Hampshire,2.0
561,Rhode Island,Alaska,0.0
562,Rhode Island,North Dakota,0.0
563,Rhode Island,Maine,0.0
564,Rhode Island,Colorado,0.0
565,Rhode Island,California,7.0
566,Rhode Island,Missouri,0.0
567,Rhode Island,Nevada,0.0
568,Rhode Island,Delaware,0.0
569,Rhode Island,Wisconsin,0.0
570,Rhode Island,New York,208.0
571,Rhode Island,Puerto Rico,0.0
572,Rhode Island,Ohio,0.0
573,Rhode Island,Alabama,0.0
574,Rhode Island,Utah,0.0
575,Rhode Island,Hawaii,0.0
576,Rhode Island,Illinois,15721.0
577,Rhode Island,Indiana,46.0
578,Rhode Island,Idaho,0.0
579,Rhode Island,West Virginia,0.0
580,Rhode Island,Tennessee,0.0
581,Rhode Island,Arizona,0.0
582,Rhode Island,Massachusetts,357.0
583,Oklahoma,Montana,0.0
584,Oklahoma,Florida,5377.0
585,Oklahoma,Washington,3235.0
586,Oklahoma,Arkansas,0.0
587,Oklahoma,South Dakota,0.0
588,Oklahoma,Mississippi,0.0
589,Oklahoma,Kansas,140.0
590,Oklahoma,Virginia,1786.0
591,Oklahoma,Georgia,25528.0
592,Oklahoma,Kentucky,0.0
593,Oklahoma,Rhode Island,0.0
594,Oklahoma,Oklahoma,0.0
595,Oklahoma,Louisiana,0.0
596,Oklahoma,Minnesota,3125.0
597,Oklahoma,U.S. Pacific Trust Territories and Possessions,0.0
598,Oklahoma,Michigan,0.0
599,Oklahoma,Pennsylvania,0.0
600,Oklahoma,Nebraska,453.0
601,Oklahoma,Wyoming,0.0
602,Oklahoma,Oregon,0.0
603,Oklahoma,Iowa,0.0
604,Oklahoma,South Carolina,0.0
605,Oklahoma,Vermont,0.0
606,Oklahoma,Maryland,0.0
607,Oklahoma,Connecticut,0.0
608,Oklahoma,North Carolina,14718.0
609,Oklahoma,New Mexico,0.0
610,Oklahoma,U.S. Virgin Islands,0.0
611,Oklahoma,Texas,97988.0
612,Oklahoma,New Jersey,0.0
613,Oklahoma,New Hampshire,0.0
614,Oklahoma,Alaska,0.0
615,Oklahoma,North Dakota,0.0
616,Oklahoma,Maine,0.0
617,Oklahoma,Colorado,32983.0
618,Oklahoma,California,6383.0
619,Oklahoma,Missouri,8217.0
620,Oklahoma,Nevada,11595.0
621,Oklahoma,Delaware,0.0
622,Oklahoma,Wisconsin,0.0
623,Oklahoma,New York,0.0
624,Oklahoma,Puerto Rico,0.0
625,Oklahoma,Ohio,155.0
626,Oklahoma,Alabama,139.0
627,Oklahoma,Utah,7294.0
628,Oklahoma,Hawaii,0.0
629,Oklahoma,Illinois,21584.0
630,Oklahoma,Indiana,0.0
631,Oklahoma,Idaho,180.0
632,Oklahoma,West Virginia,173.0
633,Oklahoma,Tennessee,771.0
634,Oklahoma,Arizona,17749.0
635,Oklahoma,Massachusetts,0.0
636,Louisiana,Montana,0.0
637,Louisiana,Florida,13109.0
638,Louisiana,Washington,1685.0
639,Louisiana,Arkansas,0.0
640,Louisiana,South Dakota,0.0
641,Louisiana,Mississippi,196.0
642,Louisiana,Kansas,0.0
643,Louisiana,Virginia,4736.0
644,Louisiana,Georgia,51259.0
645,Louisiana,Kentucky,785.0
646,Louisiana,Rhode Island,0.0
647,Louisiana,Oklahoma,0.0
648,Louisiana,Louisiana,275.0
649,Louisiana,Minnesota,983.0
650,Louisiana,U.S. Pacific Trust Territories and Possessions,0.0
651,Louisiana,Michigan,2306.0
652,Louisiana,Pennsylvania,2789.0
653,Louisiana,Nebraska,0.0
654,Louisiana,Wyoming,0.0
655,Louisiana,Oregon,0.0
656,Louisiana,Iowa,0.0
657,Louisiana,South Carolina,0.0
658,Louisiana,Vermont,0.0
659,Louisiana,Maryland,4824.0
660,Louisiana,Connecticut,102.0
661,Louisiana,North Carolina,19075.0
662,Louisiana,New Mexico,0.0
663,Louisiana,U.S. Virgin Islands,0.0
664,Louisiana,Texas,114144.0
665,Louisiana,New Jersey,4102.0
666,Louisiana,New Hampshire,0.0
667,Louisiana,Alaska,0.0
668,Louisiana,North Dakota,0.0
669,Louisiana,Maine,0.0
670,Louisiana,Colorado,7505.0
671,Louisiana,California,2748.0
672,Louisiana,Missouri,0.0
673,Louisiana,Nevada,4030.0
674,Louisiana,Delaware,0.0
675,Louisiana,Wisconsin,0.0
676,Louisiana,New York,2802.0
677,Louisiana,Puerto Rico,114.0
678,Louisiana,Ohio,766.0
679,Louisiana,Alabama,160.0
680,Louisiana,Utah,1324.0
681,Louisiana,Hawaii,0.0
682,Louisiana,Illinois,9830.0
683,Louisiana,Indiana,0.0
684,Louisiana,Idaho,0.0
685,Louisiana,West Virginia,0.0
686,Louisiana,Tennessee,0.0
687,Louisiana,Arizona,450.0
688,Louisiana,Massachusetts,1396.0
689,Minnesota,Montana,26092.0
690,Minnesota,Florida,63642.0
691,Minnesota,Washington,49066.0
692,Minnesota,Arkansas,569.0
693,Minnesota,South Dakota,15196.0
694,Minnesota,Mississippi,410.0
695,Minnesota,Kansas,3333.0
696,Minnesota,Virginia,26279.0
697,Minnesota,Georgia,50586.0
698,Minnesota,Kentucky,14111.0
699,Minnesota,Rhode Island,541.0
700,Minnesota,Oklahoma,3142.0
701,Minnesota,Louisiana,1161.0
702,Minnesota,Minnesota,37070.0
703,Minnesota,U.S. Pacific Trust Territories and Possessions,0.0
704,Minnesota,Michigan,42624.0
705,Minnesota,Pennsylvania,24516.0
706,Minnesota,Nebraska,10043.0
707,Minnesota,Wyoming,3006.0
708,Minnesota,Oregon,21228.0
709,Minnesota,Iowa,8936.0
710,Minnesota,South Carolina,1126.0
711,Minnesota,Vermont,0.0
712,Minnesota,Maryland,14472.0
713,Minnesota,Connecticut,10063.0
714,Minnesota,North Carolina,31565.0
715,Minnesota,New Mexico,735.0
716,Minnesota,U.S. Virgin Islands,0.0
717,Minnesota,Texas,69376.0
718,Minnesota,New Jersey,14213.0
719,Minnesota,New Hampshire,0.0
720,Minnesota,Alaska,11344.0
721,Minnesota,North Dakota,29514.0
722,Minnesota,Maine,681.0
723,Minnesota,Colorado,66237.0
724,Minnesota,California,91636.0
725,Minnesota,Missouri,21627.0
726,Minnesota,Nevada,43164.0
727,Minnesota,Delaware,0.0
728,Minnesota,Wisconsin,37537.0
729,Minnesota,New York,28681.0
730,Minnesota,Puerto Rico,501.0
731,Minnesota,Ohio,19025.0
732,Minnesota,Alabama,0.0
733,Minnesota,Utah,23123.0
734,Minnesota,Hawaii,886.0
735,Minnesota,Illinois,83522.0
736,Minnesota,Indiana,16612.0
737,Minnesota,Idaho,6216.0
738,Minnesota,West Virginia,0.0
739,Minnesota,Tennessee,23052.0
740,Minnesota,Arizona,45288.0
741,Minnesota,Massachusetts,28852.0
742,U.S. Pacific Trust Territories and Possessions,Montana,0.0
743,U.S. Pacific Trust Territories and Possessions,Florida,0.0
744,U.S. Pacific Trust Territories and Possessions,Washington,0.0
745,U.S. Pacific Trust Territories and Possessions,Arkansas,0.0
746,U.S. Pacific Trust Territories and Possessions,South Dakota,0.0
747,U.S. Pacific Trust Territories and Possessions,Mississippi,0.0
748,U.S. Pacific Trust Territories and Possessions,Kansas,0.0
749,U.S. Pacific Trust Territories and Possessions,Virginia,0.0
750,U.S. Pacific Trust Territories and Possessions,Georgia,0.0
751,U.S. Pacific Trust Territories and Possessions,Kentucky,0.0
