,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
150,Idaho,1,0.006214441,0.374908902,11429.01522,97040,21606,-2414,-25857.17468,-0.014059643,196494,48715.20513,0.026488525
151,Idaho,2,0.003199988,0.222740476,5885.117569,101650,7975,-1139,-17010.15321,-0.009249142,204439,28780.38835,0.015649119
152,Idaho,3,0.003142814,0.253414137,5779.967989,143074,9074,-1496,-30856.11378,-0.016777779,287644,42416.04976,0.023063407
153,Idaho,4,0.003404118,0.216912709,6260.533287,138892,6759,-4058,-24747.13841,-0.01345607,281842,37268.20498,0.020264305
154,Idaho,5,0.003616387,0.066287245,6650.918938,179324,4356,1343,-5146.951165,-0.002798616,357305,18448.78904,0.01003139
155,Idaho,6,0.004288871,0.106531113,7887.688982,231446,2693,6464,-16079.89383,-0.008743321,456428,31855.2718,0.017321063
156,Idaho,7,0.008227302,0.208825237,15130.88139,261612,5395,-4021,-40339.99282,-0.021934566,527245,70601.75559,0.038389171
157,Idaho,8,0.013283899,0.402848168,24430.49837,236515,20905,-1917,-71621.3961,-0.038943593,474947,120482.3928,0.065511391
158,Idaho,9,0.012366124,0.452610614,22742.61283,203485,34770,-2220,-70361.65358,-0.038258618,409190,115846.8792,0.062990866
159,Idaho,10,0.006999072,0.600294408,12872.03568,210153,32216,-5988,-116876.198,-0.06355055,426294,142620.2693,0.077548694
160,Kentucky,1,0.005812635,0.221051773,26190.78136,204957,97620,17226,-15307.48913,-0.003397258,392688,67689.05185,0.015022529
161,Kentucky,2,0.003429705,0.141727833,15453.69025,196144,40124,-6988,-13335.768,-0.002959666,399276,44243.1485,0.009819077
162,Kentucky,3,0.00745406,0.081207926,33586.77332,309463,21750,-21486,6711.091456,0.001489422,640412,60462.45519,0.013418699
163,Kentucky,4,0.005362405,0.039075153,24162.11659,369027,16285,28307,10848.43033,0.00240764,709747,37475.80285,0.00831717
164,Kentucky,5,0.003886492,0.019898489,17511.89513,423229,13804,-14035,8811.002044,0.001955464,860493,26212.78823,0.005817519
165,Kentucky,6,0.003367842,0.043021861,15174.94248,543776,6455,-4524,-8413.943816,-0.001867344,1092076,38763.82878,0.008603027
166,Kentucky,7,0.011118788,0.108589718,50099.43576,589969,18830,5717,-13344.324,-0.002961565,1174221,113543.1955,0.025199141
167,Kentucky,8,0.015234605,0.173939352,68644.63115,510560,91988,33578,-14321.30863,-0.003178391,987542,151610.5709,0.033647601
